key,en,pt_br,jp
PLACEHOLDER,Placeholder,Temporário,プレースホルダー
LANGUAGE_NAME,English,Português Brasileiro,日本語
CONTEXT_ACTION_ATTACK,Attack,Atacar,攻める
CONTEXT_ACTION_BOOST,Boost,Impulsionar,ブーストする
CONTEXT_ACTION_BUILD,Build,Construir,建築
CONTEXT_ACTION_CAST_FISHING,Cast,Lançar,釣り糸を投げる
CONTEXT_ACTION_CAST_SPELL,Cast,Lançar,詠唱する
CONTEXT_ACTION_CLAIM,Claim,Reivindicar,入手する
CONTEXT_ACTION_CLIMB,Climb,Escalar,登る
CONTEXT_ACTION_CLOSE,Close,Fechar,閉じる
CONTEXT_ACTION_COLLECT,Collect,Coletar,集める
CONTEXT_ACTION_COOK,Cook,Cozinhar,調理
CONTEXT_ACTION_CRAFT,Craft,Fabricar,作成
CONTEXT_ACTION_CROUCH,Crouch,Agachar,しゃがむ
CONTEXT_ACTION_DODGE,Dodge,Desviar,避ける
CONTEXT_ACTION_DRIVE,Drive,Dirigir,運転する
CONTEXT_ACTION_FLY,Fly,Voar,飛ぶ
CONTEXT_ACTION_FULL_SPEED,Full Speed,Velocidade máxima,全速力
CONTEXT_ACTION_GO,Go,Ir,移動する
CONTEXT_ACTION_GO_TO_PLACE,Go to,Vá para,へ移動する
CONTEXT_ACTION_HALF_SPEED,Half Speed,Metade da velocidade,半速力
CONTEXT_ACTION_HEAL,Heal,Curar,回復する
CONTEXT_ACTION_INTERACT,Interact,Interagir,対話する
CONTEXT_ACTION_JUMP,Jump,Pular,ジャンプする
CONTEXT_ACTION_LAND,Landing,Aterrissar,着陸する
CONTEXT_ACTION_LOOK,Look,Olhar,見る
CONTEXT_ACTION_MANAGE,Manage,Gerenciar,操る
CONTEXT_ACTION_MIX,Mix,Misturar,調合
CONTEXT_ACTION_OPEN,Open,Abrir,開く
CONTEXT_ACTION_PICK_UP,Pick up,Pegar,拾う
CONTEXT_ACTION_RACE,Race,Correr,競争する
CONTEXT_ACTION_READ,Read,Ler,読む
CONTEXT_ACTION_REPLACE,Replace,Trocar,入れ替え
CONTEXT_ACTION_RUN,Run,Correr,走る
CONTEXT_ACTION_RUN_AWAY,Run away,Fugir,逃げる
CONTEXT_ACTION_SHOOT,Shoot,Atirar,撃つ
CONTEXT_ACTION_SNEAK,Sneak,Infiltrar,忍ぶ
CONTEXT_ACTION_SPIN,Spin,Girar,回転させる
CONTEXT_ACTION_SPRINT,Sprint,Arrancada,走る
CONTEXT_ACTION_STEER,Steer,Conduzir,操舵する
CONTEXT_ACTION_TAKE_OFF,Takeoff,Decolar,離陸する
CONTEXT_ACTION_TALK,Talk,Falar,話す
CONTEXT_ACTION_THROW,Throw,Arremessar,投げる
CONTEXT_ACTION_WALK,Walk,Andar,歩く
CONTEXT_CARD_ATTACK,Attack,Ataque,攻撃
CONTEXT_CARD_COST,Cost,Custo,コスト
CONTEXT_CARD_DAMAGE,Damage,Dano,ダメージ
CONTEXT_CARD_DECK,Deck,Baralho,デッキ
CONTEXT_CARD_DEFENSE,Defense,Defesa,防御
CONTEXT_CARD_DESCRIPTION,Card Description,Descrição da Carta,カードの説明
CONTEXT_CARD_DISCARD,Discard,Descartar,捨てる
CONTEXT_CARD_DRAW,Draw,Comprar,ドロー
CONTEXT_CARD_EFFECT,Effect,Efeito,効果
CONTEXT_CARD_HAND,Hand,Mão,手札
CONTEXT_CARD_HEAL,Heal,Cura,回復
CONTEXT_CARD_OPPONENT,Opponent,Oponente,相手
CONTEXT_CARD_PLAYER,Player,Jogador,プレイヤー
CONTEXT_CARD_SHUFFLE,Shuffle,Embaralhar,シャッフル
CONTEXT_CARD_SPECIAL,Special,Especial,特殊
CONTEXT_CARD_TITLE,Card Title,Nome da Carta,カードのタイトル
CONTEXT_CHARACTER,Character,Personagem,キャラクター
CONTEXT_CHARACTER_CLASS,Class,Classe,クラス
CONTEXT_CHARACTER_DELETE,Delete Character,Deletar Personagem,キャラクター削除
CONTEXT_CHARACTER_ENDURANCE,Endurance,Resistência,生命力
CONTEXT_CHARACTER_EXP,Experience points,Pontos de experiência,経験値
CONTEXT_CHARACTER_EXP_SHORT,EXP,EXP,経験値
CONTEXT_CHARACTER_FEMALE,Female,Feminino,女
CONTEXT_CHARACTER_HEALTH,Health,Vida,ヘルス
CONTEXT_CHARACTER_HEART,Heart,Coração,ハート
CONTEXT_CHARACTER_HEART_PLURAL,Hearts,Corações,ハート
CONTEXT_CHARACTER_LEVEL,Level,Nível,レベル
CONTEXT_CHARACTER_LEVEL_UP,Level up!,Subiu de nível!,レベルアップ！
CONTEXT_CHARACTER_LIVES,Lives,Vidas,ライフ
CONTEXT_CHARACTER_MALE,Male,Masculino,男
CONTEXT_CHARACTER_MAN,Man,Homem,男
CONTEXT_CHARACTER_MAN_PLURAL,Men,Homens,男
CONTEXT_CHARACTER_NEW,New Character,Novo Personagem,新規キャラクター
CONTEXT_CHARACTER_RESPAWN,Respawn,Renascer,復活
CONTEXT_CHARACTER_RESPAWN_IN,Respawn in:,Renascimento em:,復活まで：
CONTEXT_CHARACTER_RESPAWN_QUESTION,Respawn?,Renascer,復活しますか？
CONTEXT_CHARACTER_RESPAWNING,Respawning,Renascendo,復活中
CONTEXT_CHARACTER_SKILL,Skill,Habilidade,スキル
CONTEXT_CHARACTER_SPAWN_POINT,Spawn Point,Ponto de Renascimento,復活ポイント
CONTEXT_CHARACTER_STAMINA,Stamina,Energia,スタミナ
CONTEXT_CHARACTER_TRANSGENDER,Transgender,Transgênero,トランスジェンダー
CONTEXT_CHARACTER_UPGRADE,Upgrade,Melhoria,アップグレード
CONTEXT_CHARACTER_WOMAN,Woman,Mulher,女
CONTEXT_CHARACTER_WOMAN_PLURAL,Women,Mulheres,女
CONTEXT_CLASS_AI,Artificial Intelligence,Inteligência Artificial,人工知能
CONTEXT_CLASS_ALIEN,Alien,Extraterrestre,エイリアン
CONTEXT_CLASS_CLONE,Clone,Clone,クローン
CONTEXT_CLASS_CYBORG,Cyborg,Ciborgue,サイボーグ
CONTEXT_CLASS_DEITY,Deity,Divindade,神
CONTEXT_CLASS_DRAGON,Dragon,Dragão,ドラゴン
CONTEXT_CLASS_DRAGON_PLURAL,Dragons,Dragões,ドラゴン
CONTEXT_CLASS_GHOST,Ghost,Fantasma,幽霊
CONTEXT_CLASS_GOD,God,Deus,神
CONTEXT_CLASS_GOD_PLURAL,Gods,Deuses,神々
CONTEXT_CLASS_GODDESS,Goddess,Deusa,女神
CONTEXT_CLASS_MAGE,Mage,Mago,魔法使い
CONTEXT_CLASS_MEDIC,Medic,Médico,メディック
CONTEXT_CLASS_MONSTER,Monster,Monstro,モンスター
CONTEXT_CLASS_NINJA,Ninja,Ninja,忍者
CONTEXT_CLASS_PIRATE,Pirate,Pirata,海賊
CONTEXT_CLASS_PRIEST,Priest,Padre,僧侶
CONTEXT_CLASS_PRINCE,Prince,Príncipe,王子
CONTEXT_CLASS_PRINCESS,Princess,Princesa,姫
CONTEXT_CLASS_ROBOT,Robot,Robô,ロボット
CONTEXT_CLASS_SKELETON,Skeleton,Esqueleto,スケルトン
CONTEXT_CLASS_SNIPER,Sniper,Franco-atirador,狙撃手
CONTEXT_CLASS_SOLDIER,Soldier,Soldado,ソルジャー
CONTEXT_CLASS_THIEF,Thief,Ladrão,盗賊
CONTEXT_CLASS_WARRIOR,Warrior,Guerreiro,戦士
CONTEXT_CLASS_WIZARD,Wizard,Feiticeiro,魔術師
CONTEXT_CLASS_ZOMBIE,Zombie,Zumbi,ゾンビ
CONTEXT_CLASS_ZOMBIE_PLURAL,Zombies,Zumbis,ゾンビ
CONTEXT_COMPETITION_FIRST,First place,Primeiro Lugar,一位
CONTEXT_COMPETITION_PLACE_NOUN,Place,Lugar,順位
CONTEXT_COMPETITION_SECOND,Second place,Segundo Lugar,二位
CONTEXT_COMPETITION_THIRD,Third place,Terceiro Lugar,三位
CONTEXT_CONDITION_BURNING,Burning,Queimando,炎上
CONTEXT_CONDITION_CRITICAL,Critical,Estado grave,瀕死
CONTEXT_CONDITION_DEAD,Dead,Morto,死亡
CONTEXT_CONDITION_FROZEN,Frozen,Congelado,凍結
CONTEXT_CONDITION_POISONED,Poisoned,Envenenado,毒
CONTEXT_CONDITION_SLOWED,Slowed,Lento,減速
CONTEXT_CONDITION_STUNNED,Stunned,Atordoado,スタン
CONTEXT_CONDITION_UNCONSCIOUS,Unconscious,Desmaiado,気絶
CONTEXT_CONDITION_UNHURT,Unhurt,Ileso,無傷
CONTEXT_CONDITION_WET,Wet,Molhado,濡れている
CONTEXT_CONDITION_WOUNDED,Wounded,Ferido,負傷
CONTEXT_CONTEXT_COINS_EARNED,Coins Earned,Moedas Ganhas,プレースホルダーゲーム
CONTEXT_CONTEXT_COINS_SPENT,Coins Spent,Moedas Gastas,プレースホルダーゲーム
CONTEXT_CONTEXT_DAMAGE_TAKEN,Damage Taken,Dano Recebido,プレースホルダーゲーム
CONTEXT_CONTEXT_ENEMIES_KILLED,Enemies Killed,Inimigos Mortos,プレースホルダーゲーム
CONTEXT_CONTEXT_ENEMIES_LEFT,Enemies Left,Inimigos Restantes,残った敵
CONTEXT_CONTEXT_SHOTS_FIRED,Shots Fired,Tiros Disparados,プレースホルダーゲーム
CONTEXT_CONTEXT_SPAWN_COMMAND,"To spawn, chat","Para jogar, digite",をチャットください！
CONTEXT_CONTEXT_SPAWNED_ENEMY,Spawned an enemy for,Spawnamos um inimigo para,のために敵をスポーンしました
CONTEXT_CONTEXT_TOTAL_TIME,Total Time,Tempo Total,合計時間
CONTEXT_CONTEXT_TURRET_CHOOSE,Choose your new turret,Escolha a sua nova torre,新しいタワーを選ぶ
CONTEXT_CONTEXT_TURRET_UPGRADES,Turret Upgrades,Melhorias de Torre,タワー
CONTEXT_CONTEXT_TURRETS_BUILT,Turrets Build,Torres Construídas,プレースホルダーゲーム
CONTEXT_CONTEXT_WAVE,Wave,Onda,ウエーブ
CONTEXT_DAMAGE,Damage,Dano,ダメージ
CONTEXT_DAMAGE_CRITICAL_HIT,Critical Hit,Dano crítico,クリティカルヒット
CONTEXT_DAMAGE_CRITICAL_MISS,Critical Miss,Errou crítico,クリティカルミス
CONTEXT_DAMAGE_HIT_NOUN,Hit,Acerto,ヒット
CONTEXT_DAMAGE_HIT_POINTS_PLURAL,Hit points,Pontos de vida,ヒットポイント
CONTEXT_DAMAGE_MISS_NOUN,Miss,Errou,ミス
CONTEXT_DAMAGE_UNIT,Damage,Dano,ダメージ
CONTEXT_DAMAGE_UNIT_PLURAL,Damage,Danos,ダメージ
CONTEXT_DESCRIPTION_BIG,Big,Grande,大
CONTEXT_DESCRIPTION_HUGE,Huge,Enorme,巨大
CONTEXT_DESCRIPTION_SMALL,Small,Pequeno,小
CONTEXT_DESCRIPTION_TINY,Tiny,Muito pequeno,極小
CONTEXT_ELEMENT_AIR,Air,Ar,風
CONTEXT_ELEMENT_EARTH,Earth,Terra,地
CONTEXT_ELEMENT_FIRE,Fire,Fogo,火
CONTEXT_ELEMENT_METAL,Metal,Metal,金
CONTEXT_ELEMENT_WATER,Water,Água,水
CONTEXT_ENEMY,Enemy,Inimigo,敵
CONTEXT_ENEMY_FEMALE,Enemy,Inimiga,敵
CONTEXT_ENEMY_FEMALE_PLURAL,Enemies,Inimigas,敵
CONTEXT_ENEMY_PLURAL,Enemies,Inimigos,敵
CONTEXT_FINAL_DAY,The deadline has expired!,O prazo acabou!,すまん
CONTEXT_GAMBLING_BET,Bet,Apostar,ベット
CONTEXT_GAMBLING_DISCARD,Discard,Descartar,捨てる
CONTEXT_GAMBLING_JACKPOT,Jackpot,Bolada,ジャックポット
